"","LOCATION","REGION","points","lw_avg","lw_median","lw_min","lw_max","lw_range"
"1","Hams Bay","West End",4,22.6125,22.63,22.3,22.89,0.59
"2","Issac Bay","East End",14,22.1014285714286,22.03,21.71,23.26,1.55
"3","Monks Bath ","West End",13,21.4953846153846,22.02,17.38,23.08,5.7
"4","Brown Bay","East End",6,21.3866666666667,21.215,20.32,23.14,2.82
"5","Spratt Hall","West End",16,21.294,21.83,15.67,22.64,6.97
"6","Chaney Bay","East End",21,21.15,21.12,19.68,22.27,2.59
"7","Sunset Beach Condos ","West End",3,20.8866666666667,21.07,19.64,21.95,2.31
"8","Whistle Beach","North Shore",3,20.8633333333333,20.85,19.99,21.75,1.76
"9","La Grange Beach","West End",2,20.82,20.82,19.38,22.26,2.88
"10","Coakley Bay","North Shore",13,20.5607692307692,20.1,17.86,22.63,4.77
