YEAR,MONTH,DAY,DATE,ISLAND,LOCATION,LATITUDE,LONGITUDE,START TIME,END TIME,WEATHER,CLOUD COVER,MOON CONDITIONS,MOON ILLUMINATION,Points,RECORDERS,SQM (LW),SQM (W),SQM (SW),SQM (E),SQM ZENITH,AVERAGE SQM ,Notes
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.76389,-64.73287,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,1,"Romina, Dante, Jahleya and Nakia",16.43,20.47,19.47,17.22,18.64,18.40,SQM(W) - Concrete wall
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.7636,-64.73257,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,2,"Romina, Dante, Jahleya and Nakia",19.89,17.29,19.79,16.9,18.65,18.47,
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.76327,-64.73223,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,3,"Romina, Dante, Jahleya and Nakia",19.48,18.11,19.67,16.9,19.44,18.54,
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.76288,-64.73195,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,4,"Romina, Dante, Jahleya and Nakia",18.46,18.86,19.13,16.94,18.81,18.35,
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.76252,-64.73195,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,5,"Romina, Dante, Jahleya and Nakia",18.12,18.73,18.93,16.9,18.8,18.17,
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.76233,-64.73128,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,6,"Romina, Dante, Jahleya and Nakia",18.7,17.74,18.8,15.37,18.54,17.65,
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.76227,-64.73081,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,7,"Romina, Dante, Jahleya and Nakia",12.38,15.79,18.51,15.87,19.02,15.64,Front of Palms restaurant and decor lighting.
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.76228,-64.73035,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,8,"Romina, Dante, Jahleya and Nakia",14.79,13.86,19.32,17.55,18.78,16.38,
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.76227,-64.7299,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,9,"Romina, Dante, Jahleya and Nakia",15.93,15.43,19.41,16.73,19,16.88,
2026,7,12,7/12/2026,STX,Palms at Pelican Cove,17.7621,-64.72949,21:11,23:10,Mostly Cloudy,60-80%,Waning Crescent,4.80%,10,"Romina, Dante, Jahleya and Nakia",17.07,16.54,19.53,17.06,19.2,17.55,
