"","LOCATION","REGION","points","lw_avg","lw_median","lw_min","lw_max","lw_range"
"1","The Fred","West End",3,13.19,13.94,10.98,14.65,3.67
"2","Fort Frederiksted Beach","West End",8,16.0075,15.365,12.51,20.7,8.19
"3","Cottages Beach","West End",4,16.045,16.455,12.52,18.75,6.23
"4","Marley Homes ","West End",7,16.0914285714286,18.47,11.68,18.93,7.25
"5","Tamarind Reef","North Shore",5,16.32,16.69,12.51,19.65,7.14
"6","Airbnb Beachfront Homes","West End",3,16.82,17.57,13.55,19.34,5.79
"7","Palms at Pelican Cove","North Shore",15,17.2266666666667,17.07,12.38,20.69,8.31
"8","Cramers Park","East End",6,17.4366666666667,17.715,13.11,21.22,8.11
"9","Cane Bay","North Shore",6,17.515,17.275,14.97,20.83,5.86
"10","Dorsch Beach","West End",8,17.95375,18.15,13.39,21.19,7.8
