"","LOCATION","REGION","points","seaward_avg","seaward_median","seaward_min","seaward_max","seaward_range"
"1","Mermaid Beach","North Shore",4,18.85,19.335,16.96,19.77,2.81
"2","The Fred","West End",3,19.1566666666667,19.28,18.87,19.32,0.449999999999999
"3","Palms at Pelican Cove","North Shore",15,19.358,19.47,18.51,19.79,1.28
"4","Marley Homes ","West End",7,19.55,20,17.81,20.15,2.34
"5","Enfield Green","South Shore",8,19.68375,19.75,19.33,19.95,0.620000000000001
"6","Grotto Beach","North Shore",10,19.73,19.92,18.63,20.28,1.65
"7","Cramers Park","EEMP",6,19.74,20.36,16.87,21.15,4.28
"8","Cottages Beach","West End",4,19.7825,19.8,19.68,19.85,0.170000000000002
"9","Fort Frederiksted Beach","West End",8,19.85875,19.825,19.29,20.47,1.18
"10","Dorsch Beach","West End",8,20.0375,20.055,19.64,20.28,0.640000000000001
