"","LOCATION","REGION","points","seaward_avg","seaward_median","seaward_min","seaward_max","seaward_range"
"1","Brown Bay","EEMP",6,21.7933333333333,21.8,21.65,21.89,0.240000000000002
"2","Issac Bay","EEMP",14,21.7685714285714,21.78,21.62,21.85,0.23
"3","Hams Bay","West End",4,21.29,21.245,21.19,21.48,0.289999999999999
"4","Monks Bath ","West End",13,21.0907692307692,21.13,19.92,21.96,2.04
"5","Grapetree Bay","South Shore",8,20.96,20.985,20.76,21.07,0.309999999999999
"6","Coakley Bay","North Shore",13,20.8530769230769,20.88,20.4,21.25,0.850000000000001
"7","Spratt Hall","West End",16,20.8506666666667,20.94,20.01,21.08,1.07
"8","Davis Bay","North Shore",7,20.8442857142857,20.84,20.64,20.95,0.309999999999999
"9","SPNWR West Shore","West End",14,20.8307142857143,20.855,20.42,21.14,0.719999999999999
"10","Tamarind Reef","North Shore",5,20.768,20.57,19.95,22.34,2.39
