"","LOCATION","REGION","points","zenith_avg","zenith_median","zenith_min","zenith_max","zenith_range"
"1","Issac Bay","EEMP",14,21.4,21.39,21.3,21.49,0.189999999999998
"2","Monks Bath ","West End",13,21.2423076923077,21.11,20.9,22.58,1.68
"3","Hams Bay","West End",4,21.185,21.19,21.14,21.22,0.0799999999999983
"4","Brown Bay","EEMP",6,21.075,21.035,20.91,21.4,0.489999999999998
"5","Smugglers Cove","EEMP",5,20.804,20.74,20.04,21.8,1.76
"6","Spratt Hall","West End",16,20.7966666666667,20.73,20.26,21.64,1.38
"7","Prosperity Beach","West End",8,20.62625,20.67,20.25,20.9,0.649999999999999
"8","Grapetree Bay","South Shore",8,20.59875,20.57,20.45,20.75,0.300000000000001
"9","Sunset Beach Condos ","West End",3,20.59,20.63,20.5,20.64,0.140000000000001
"10","Chaney Bay","EEMP",21,20.5138095238095,20.48,19.71,21.71,2
